Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
3666246.542920806445	-118968921.233154132962	80276510.372206121683	34838975.716597437859	-17.349877893872	-22.615781182659	-9.840843979746
3666246.575302529614	-118968921.794973075390	80276509.639868155122	34838975.397933952510	-17.349877676588	-22.615781215757	-9.840844003296
3666246.640065975953	-118968922.918610930443	80276508.175192221999	34838974.760606974363	-17.349877242022	-22.615781281953	-9.840844050395
3666246.769592869096	-118968925.165886566043	80276505.245840325952	34838973.485953010619	-17.349876372888	-22.615781414345	-9.840844144593
3666247.028646654915	-118968929.660437494516	80276499.387136489153	34838970.936645053327	-17.349874634622	-22.615781679128	-9.840844332989
3666247.546754226554	-118968938.649538010359	80276487.669728621840	34838965.838028997183	-17.349871158090	-22.615782208695	-9.840844709780
3666248.582969370298	-118968956.627733647823	80276464.234912067652	34838955.640796288848	-17.349864205031	-22.615783267822	-9.840845463361
3666250.655399657786	-118968992.584103301167	80276417.365275651217	34838935.246328532696	-17.349850298931	-22.615785386058	-9.840846970513
3666254.800260232296	-118969064.496756151319	80276323.625989660621	34838894.457383655012	-17.349822486802	-22.615789622453	-9.840849984782
3666263.089981381781	-118969208.321716010571	80276136.147365003824	34838812.879456423223	-17.349766862831	-22.615798094938	-9.840856013176
3666279.669423680753	-118969495.970252409577	80275761.189904987812	34838649.723452039063	-17.349655616031	-22.615815038684	-9.840868069391
3666312.828308278695	-118970071.261792033911	80275011.274142265320	34838323.410843640566	-17.349433127003	-22.615848921284	-9.840892179529
3666379.146077474579	-118971221.822739318013	80273511.439246818423	34837670.783228702843	-17.348988167240	-22.615916666917	-9.840940390638
3666511.781615866348	-118973522.856111720204	80270511.755982041359	34836365.518409095705	-17.348098320905	-22.616052079929	-9.841036776190
3666777.052692649420	-118978124.568813160062	80264512.335605338216	34833754.950433641672	-17.346318921135	-22.616322593043	-9.841229400656
3667307.594846215565	-118987326.578405365348	80252513.279850557446	34828533.661319255829	-17.342761294325	-22.616862368541	-9.841614063286
3668368.679153347854	-119005724.937253937125	80228514.311429351568	34818090.471887432039	-17.335650740676	-22.617936923816	-9.842381045302
3670490.847767612431	-119042499.036935105920	80180512.971634447575	34797201.659802787006	-17.321448505553	-22.620066109308	-9.843905652172
3672613.016381877009	-119079243.023895382881	80132507.141444563866	34776309.625457890332	-17.307271570862	-22.622168838753	-9.845417813148
3676857.353610406630	-119152640.875469177961	80036482.233605295420	34734515.995402552187	-17.278994261493	-22.626295465153	-9.848404944716
3681101.690838936251	-119225918.927096232772	79940440.032503187656	34692709.791763350368	-17.250820126772	-22.630317883928	-9.851342738459
3685346.028067465872	-119299077.619464159012	79844380.978109270334	34650891.223302267492	-17.222750475605	-22.634237191489	-9.854231499061
3690142.809350532480	-119381615.553132876754	79735799.111826434731	34603614.915748022497	-17.191154676064	-22.638543918333	-9.857437630605
3694939.590633599088	-119464002.256471455097	79627196.896325662732	34556323.377420999110	-17.159695866904	-22.642721995492	-9.860581990088
3699736.371916665696	-119546238.391065508127	79518574.944751143456	34509016.903507068753	-17.128375911378	-22.646773078517	-9.863665046748
3704533.153199732304	-119628324.627414569259	79409933.862242802978	34461695.786915779114	-17.097196662801	-22.650698849246	-9.866687280476
3709329.934482798912	-119710261.644883498549	79301274.245809614658	34414360.318228945136	-17.066159964170	-22.654501016066	-9.869649181944
3714214.323377653025	-119793542.526111006737	79190611.652153551579	34366145.872713394463	-17.034704789635	-22.658247408298	-9.872603702519
3714214.323377653025	-119793542.526111036539	79190611.652153536677	34366145.872713394463	-17.036309586506	-22.663914638226	-9.874619252509
3714214.323385558557	-119793542.526245713234	79190611.651974365115	34366145.872635327280	-17.036309586455	-22.663914638232	-9.874619252513
3714214.323401370086	-119793542.526515081525	79190611.651616021991	34366145.872479192913	-17.036309586353	-22.663914638244	-9.874619252523
3714214.323432992678	-119793542.527053818107	79190611.650899320841	34366145.872166931629	-17.036309586150	-22.663914638268	-9.874619252542
3714214.323496238329	-119793542.528131291270	79190611.649465933442	34366145.871542409062	-17.036309585744	-22.663914638316	-9.874619252580
3714214.323622729629	-119793542.530286237597	79190611.646599143744	34366145.870293356478	-17.036309584931	-22.663914638411	-9.874619252655
3714214.323875711765	-119793542.534596115351	79190611.640865579247	34366145.867795251310	-17.036309583306	-22.663914638602	-9.874619252807
3714214.324381676037	-119793542.543215885758	79190611.629398450255	34366145.862799048424	-17.036309580055	-22.663914638984	-9.874619253110
3714214.325393605046	-119793542.560455411673	79190611.606464177370	34366145.852806635201	-17.036309573554	-22.663914639747	-9.874619253715
3714214.327417462599	-119793542.594934478402	79190611.560595646501	34366145.832821808755	-17.036309560552	-22.663914641273	-9.874619254927
3714214.331465178169	-119793542.663892611861	79190611.468858569860	34366145.792852163315	-17.036309534548	-22.663914644326	-9.874619257350
3714214.339560608845	-119793542.801808878779	79190611.285384416580	34366145.712912864983	-17.036309482539	-22.663914650432	-9.874619262195
3714214.355751470663	-119793543.077641412616	79190610.918436110020	34366145.553034268320	-17.036309378521	-22.663914662643	-9.874619271887
3714214.388133193832	-119793543.629306465387	79190610.184539496899	34366145.233277082443	-17.036309170485	-22.663914687065	-9.874619291270
3714214.452896640170	-119793544.732636556029	79190608.716746270657	34366144.593762703240	-17.036308754413	-22.663914735910	-9.874619330036
3714214.582423533313	-119793546.939296647906	79190605.781159803271	34366143.314733937383	-17.036307922270	-22.663914833600	-9.874619407567
3714214.841477319133	-119793551.352616503835	79190599.909986838698	34366140.756676375866	-17.036306257983	-22.663915028979	-9.874619562631
3714215.359584890772	-119793560.179254904389	79190588.167640760541	34366135.640561133623	-17.036302929412	-22.663915419736	-9.874619872757
3714216.395800034516	-119793577.832526549697	79190564.682947978377	34366125.408330164850	-17.036296272274	-22.663916201246	-9.874620493007
3714218.468230322003	-119793613.139049127698	79190517.713560000062	34366104.943866290152	-17.036282958019	-22.663917764250	-9.874621733499
3714222.613090896513	-119793683.752011507750	79190423.774774312973	34366064.014930836856	-17.036256329592	-22.663920890191	-9.874624214451
3714230.902812045999	-119793824.977605164051	79190235.897164061666	34365982.157029077411	-17.036203073069	-22.663927141809	-9.874629176223
3714247.482254344970	-119794107.427468046546	79189860.141788110137	34365818.441102169454	-17.036096561345	-22.663939643985	-9.874639099240
3714280.641138942912	-119794672.321896180511	79189108.630414411426	34365491.008754819632	-17.035883543189	-22.663964644097	-9.874658943168
3714346.958908138797	-119795802.089562699199	79187605.605180561543	34364836.142086349428	-17.035457528044	-22.664014627367	-9.874698622602
3714479.594446530566	-119798061.540143296123	79184599.544772282243	34363526.400856919587	-17.034605582436	-22.664114526109	-9.874777947784
3714744.865523313638	-119802580.102347150445	79178587.384235322475	34360906.886848933995	-17.032902030086	-22.664314052533	-9.874936463450
3715275.407676879782	-119811615.871345177293	79166562.904615119100	34355667.732803151011	-17.029496281881	-22.664712022233	-9.875252956309
3716336.491984012071	-119829681.991064131260	79142513.313868045807	34345188.921924531460	-17.022690219718	-22.665503637799	-9.875883790746
3717397.576291144360	-119847740.892828151584	79118462.886201664805	34334709.443197064102	-17.015891418954	-22.666289504963	-9.876511761794
3719519.744905408937	-119883837.073371157050	79070359.544445112348	34313748.494329683483	-17.002315676994	-22.667844074570	-9.877759137759
3721641.913519673515	-119919904.474933490157	79022252.927799686790	34292784.910405158997	-16.988769206391	-22.669375892655	-9.878995132546
3725886.250748203136	-119991953.190544858575	78926030.061936944723	34250849.933685190976	-16.961764677985	-22.672371925631	-9.881433174052
3730130.587976732757	-120063887.541685730219	78829794.669329091907	34208904.704593591392	-16.934879025409	-22.675278916665	-9.883826281463
