Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
1703440.542776874499	-74454415.269852131605	116130862.685582116246	50350664.994273751974	-25.209189863534	-13.422485070426	-5.929656457154
1703448.832498023985	-74454624.246954575181	116130751.416842013597	50350615.839039206505	-25.209177333739	-13.422504791618	-5.929665143493
1703465.411940322956	-74455042.200847849250	116130528.878871336579	50350517.528354093432	-25.209152275588	-13.422544234938	-5.929682516376
1703498.570824920898	-74455878.107388138771	116130083.800968095660	50350320.906119756401	-25.209102165040	-13.422623125319	-5.929717262964
1703564.888594116783	-74457549.915484532714	116129193.637313455343	50349927.658194512129	-25.209001966954	-13.422780921053	-5.929786759431
1703642.209965594346	-74459499.105574965477	116128155.762370094657	50349469.155816949904	-25.208885182494	-13.422964923842	-5.929867792461
1703719.531337071909	-74461448.286637067795	116127117.873198345304	50349010.647173568606	-25.208768439726	-13.423148953783	-5.929948831464
1703796.852708549472	-74463397.458674073219	116126079.969796091318	50348552.132263913751	-25.208651738639	-13.423333010889	-5.930029876445
1703874.174080027035	-74465346.621689200401	116125042.052161246538	50348093.611087515950	-25.208535079225	-13.423517095171	-5.930110927408
1703951.495451504597	-74467295.775685667992	116124004.120291694999	50347635.083643913269	-25.208418461474	-13.423701206638	-5.930191984359
1704028.816822982160	-74469244.920666709542	116122966.174185335636	50347176.549932643771	-25.208301885378	-13.423885345304	-5.930273047302
1704106.138194459723	-74471194.056635528803	116121928.213840082288	50346718.009953245521	-25.208185350927	-13.424069511178	-5.930354116243
1704183.459565937286	-74473143.183595359325	116120890.239253818989	50346259.463705256581	-25.208068858112	-13.424253704273	-5.930435191185
1704205.466778405709	-74473697.942557871342	116120594.808273404837	50346128.951104044914	-25.208035709532	-13.424306134298	-5.930458267838
1704205.466778405709	-74473697.942557796836	116120594.808273732662	50346128.951104186475	-25.208155929940	-13.426362070614	-5.931213061529
1704205.466786311474	-74473697.942757084966	116120594.808167591691	50346128.951057292521	-25.208155929928	-13.426362070632	-5.931213061537
1704205.466802122770	-74473697.943155661225	116120594.807955294847	50346128.950963512063	-25.208155929904	-13.426362070670	-5.931213061554
1704205.466833745595	-74473697.943952813745	116120594.807530716062	50346128.950775951147	-25.208155929857	-13.426362070745	-5.931213061587
1704205.466896991245	-74473697.945547118783	116120594.806681558490	50346128.950400829315	-25.208155929761	-13.426362070896	-5.931213061653
1704205.467023482313	-74473697.948735728860	116120594.804983243346	50346128.949650585651	-25.208155929571	-13.426362071198	-5.931213061786
1704205.467276464449	-74473697.955112949014	116120594.801586613059	50346128.948150090873	-25.208155929190	-13.426362071800	-5.931213062051
1704205.467782428954	-74473697.967867374420	116120594.794793352485	50346128.945149108768	-25.208155928428	-13.426362073006	-5.931213062582
1704205.468794357730	-74473697.993376240134	116120594.781206831336	50346128.939147144556	-25.208155926903	-13.426362075417	-5.931213063643
1704205.470818215515	-74473698.044393956661	116120594.754033789039	50346128.927143216133	-25.208155923855	-13.426362080238	-5.931213065765
